Kept Isomer	Isomer[1]	Isomer[2]	Isomer[3]	Isomer[4]	Isomer[5]	Isomer[6]	Isomer[7]	Isomer[8]	Isomer[9]	Isomer[10]	Isomer[11]	Isomer[12]	Isomer[13]	Isomer[14]	Isomer[15]	Isomer[16]
LM:LMFA11000173																
LM:LMFA06000054																
LM:LMFA11000436																
LM:LMFA06000066																
LM:LMFA12000169																
LM:LMFA05000520																
LM:LMFA06000161																
LM:LMFA11000480																
LM:LMFA12000173	LM:LMFA12000174															
LM:LMFA11000100																
LM:LMFA06000215																
LM:LMFA12000180																
LM:LMFA06000080	LM:LMFA06000179															
LM:LMFA12000189	LM:LMFA12000192															
LM:LMFA06000091	LM:LMFA06000217															
LM:LMFA06000100	LM:LMFA06000236															
LM:LMFA05000095	LM:LMFA05000215															
LM:LMFA05000030	LM:LMFA05000204															
LM:LMFA05000176	LM:LMFA05000183															
LM:LMFA05000146	LM:LMFA05000155															
LM:LMFA05000139																
LM:LMFA05000131	LM:LMFA05000570															
LM:LMFA06000001																
LM:LMFA11000002																
LM:LMFA12000246																
LM:LMFA12000249																
LM:LMFA12000149	LM:LMFA12000152															
LM:LMFA12000156																
LM:LMFA12000061																
LM:LMFA12000199																
LM:LMFA11000703																
LM:LMFA12000052																
LM:LMFA11000615																
LM:LMFA11000392																
LM:LMFA11000366																
LM:LMFA05000038																
LM:LMFA11000447																
LM:LMPK01000057																
LM:LMFA11000477																
LM:LMFA11000516																
LM:LMFA05000077																
LM:LMFA05000500	LM:LMFA05000503	LM:LMFA05000619														
LM:LMFA00000018																
LM:LMFA00000025																
LM:LMFA00000024																
LM:LMFA05000037																
LM:LMFA00000020																
LM:LMFA12000153																
LM:LMFA05000027																
LM:LMFA05000651																
LM:LMFA05000597																
LM:LMFA05000584																
LM:LMFA05000510																
LM:LMFA00000002																
LM:LMFA05000524																
LM:LMFA05000686																
LM:LMFA05000664																
LM:LMFA05000687																
LM:LMFA05000688																
LM:LMFA05000028																
LM:LMFA05000663																
LM:LMFA12000272	LM:LMFA12000277	LM:LMFA12000278														
LM:LMFA11000323																
LM:LMFA05000659																
LM:LMFA05000005	LM:LMFA05000529	LM:LMFA05000658														
LM:LMFA05000022																
LM:LMFA11000176	LM:LMFA11000177															
LM:LMFA11000444																
LM:LMFA11000149	LM:LMFA11000500															
LM:LMFA06000053																
LM:LMFA11000412																
LM:LMFA05000019	LM:LMFA05000530	LM:LMFA05000689														
LM:LMFA12000275	LM:LMFA12000276															
LM:LMFA12000271																
LM:LMFA12000273	LM:LMFA12000274															
LM:LMFA11000165																
LM:LMFA11000178																
LM:LMFA11000180																
LM:LMFA09000002																
LM:LMFA11000172																
LM:LMFA11000126																
LM:LMFA11000141	LM:LMFA11000472															
LM:LMFA11000525																
LM:LMFA11000084	LM:LMFA11000468															
LM:LMFA11000089																
LM:LMFA11000098	LM:LMFA11000523															
LM:LMFA06000228																
LM:LMFA11000148																
LM:LMFA06000105																
LM:LMFA05000142																
LM:LMFA06000028																
LM:LMFA11000579																
LM:LMFA12000060																
LM:LMFA12000204																
LM:LMFA12000196																
LM:LMFA12000044																
LM:LMFA11000410																
LM:LMFA11000465																
LM:LMFA05000525																
LM:LMFA11000026	LM:LMFA11000446															
LM:LMPK01000060																
LM:LMFA11000475																
LM:LMFA11000514																
LM:LMFA11000038	LM:LMFA11000039	LM:LMFA11000085	LM:LMFA11000086													
LM:LMFA11000489																
LM:LMFA11000441																
LM:LMFA11000496																
LM:LMFA05000509																
LM:LMFA12000259																
LM:LMFA12000266																
LM:LMFA12000267																
LM:LMFA12000260																
LM:LMFA12000248																
LM:LMFA11000709																
LM:LMFA00000022																
