database_name	Lipid Maps																																																																																																																			
database_version	6/12/2016																																																																																																																			
140.08373	C8H12O2	LM:LMFA01030441	LM:LMFA01030442	LM:LMFA01030577	LM:LMFA01030578	LM:LMFA01030795	LM:LMFA05000562	LM:LMFA05000563	LM:LMFA06000037	LM:LMFA06000038	LM:LMFA06000129	LM:LMFA07010177	LM:LMFA07010180	LM:LMFA07010779	LM:LMFA07010858	LM:LMFA07010882																																																																																																				
140.120115	C9H16O	LM:LMFA05000118	LM:LMFA05000136	LM:LMFA05000498	LM:LMFA05000499	LM:LMFA05000501	LM:LMFA05000502	LM:LMFA05000555	LM:LMFA05000608	LM:LMFA06000041	LM:LMFA06000042	LM:LMFA06000043	LM:LMFA06000044	LM:LMFA06000113	LM:LMFA06000127	LM:LMFA06000140	LM:LMFA12000094	LM:LMFA12000133	LM:LMFA12000134	LM:LMFA12000135	LM:LMFA12000136	LM:LMFA12000141	LM:LMFA12000145																																																																																													
140.1565	C10H20	LM:LMFA11000311	LM:LMFA11000593	LM:LMFA11000597	LM:LMFA11000630	LM:LMFA11000631	LM:LMFA11000644	LM:LMFA11000645	LM:LMFA11000646	LM:LMFA11000652	LM:LMFA11000653	LM:LMFA11000654	LM:LMFA11000655	LM:LMFA11000656	LM:LMFA11000657	LM:LMFA11000669	LM:LMPR0102050002																																																																																																			
141.042594	C6H7NO3	LM:LMFA01060191																																																																																																																		
141.958836	C3H4Cl2O2	LM:LMFA01090067																																																																																																																		
142.026609	C6H6O4	LM:LMFA01030926	LM:LMFA01030927	LM:LMFA01030970																																																																																																																
142.02661	C6H6O4	LM:LMFA01170077	LM:LMFA01170124																																																																																																																	
142.041865	C10H6O	LM:LMFA06000063																																																																																																																		
142.062995	C7H10O3	LM:LMFA01050262	LM:LMFA07040006																																																																																																																	
142.09938	C8H14O2	LM:LMFA01020102	LM:LMFA01020124	LM:LMFA01020125	LM:LMFA01020126	LM:LMFA01020392	LM:LMFA01030017	LM:LMFA01030018	LM:LMFA01030019	LM:LMFA01030020	LM:LMFA01030021	LM:LMFA01030022	LM:LMFA01030023	LM:LMFA01030024	LM:LMFA01030025	LM:LMFA01030576	LM:LMFA01030796	LM:LMFA01030797	LM:LMFA01030798	LM:LMFA01030799	LM:LMFA01030800	LM:LMFA01030945	LM:LMFA01030946	LM:LMFA01030951	LM:LMFA01030968	LM:LMFA01030982	LM:LMFA06000039	LM:LMFA07010178	LM:LMFA07010179	LM:LMFA07010181	LM:LMFA07010182	LM:LMFA07010581	LM:LMFA07010634	LM:LMFA07010722	LM:LMFA07010726	LM:LMFA07010742	LM:LMFA07010781	LM:LMFA07010849	LM:LMFA07010852	LM:LMFA07010859	LM:LMFA07010885	LM:LMFA07010924	LM:LMFA07010941	LM:LMFA07040009	LM:LMFA07040016	LM:LMFA07040017	LM:LMFA12000040	LM:LMFA12000241	LM:LMPK09000003																																																																			
